Genero,Casado,Graduado,Gastoscore,Experiencia_laboral,Profesion_Artista,Profesion_Construccion,Profesion_Ejecutivo,Profesion_Funcionario,Profesion_Ingeniero,Profesion_Medico,Profesion_Negocios/empresa,Profesion_Otros,Profesion_Servicios,Generacion,Provincia_Este,Provincia_Norte,Provincia_Oeste,Provincia_Sur,Edad,Family_Size,Ingresos_anuales_brutos,Dias_cliente,per_capita_income,client_longevity,socioeconomic_index,marital_education_interaction,Cluster
1,1,1,0,2,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,67,3,93442,195,31147.333333333332,2.8676470588235294,0.5,1.0,2
0,1,1,1,2,0,0,0,0,0,1,0,0,0,0.0,1,0,0,0,64,2,99774,360,49887.0,5.538461538461538,1.5,1.0,3
0,1,1,1,2,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,65,3,36756,407,12252.0,6.166666666666667,0.5,1.0,2
0,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,33,4,24616,544,6154.0,16.0,0.5,0.0,4
0,1,0,1,2,0,0,0,0,0,0,0,1,0,0.0,1,0,0,0,52,2,29834,170,14917.0,3.207547169811321,0.5,0.0,2
0,1,0,0,2,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,76,1,88523,358,88523.0,4.64935064935065,0.0,0.0,0
0,1,1,0,2,0,0,0,0,0,0,0,1,0,0.0,0,0,1,0,45,5,112808,442,22561.6,9.608695652173912,0.0,1.0,2
0,1,0,0,1,0,0,1,0,0,0,0,0,0,2.0,0,1,0,0,36,6,18885,124,3147.5,3.3513513513513513,1.0,0.0,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.0,0,1,0,0,30,5,21358,70,4271.6,2.2580645161290325,0.5,0.0,1
0,1,1,0,2,0,0,0,0,1,0,0,0,0,2.0,0,1,0,0,42,2,46283,403,23141.5,9.372093023255815,0.5,1.0,2
0,1,1,1,1,1,0,0,0,0,0,0,0,0,2.0,1,0,0,0,39,4,27934,596,6983.5,14.9,0.5,1.0,4
0,1,1,0,0,1,0,0,0,0,0,0,0,0,2.0,0,1,0,0,30,2,29611,439,14805.5,14.161290322580646,0.0,1.0,4
